time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-12-26T18:23:21.550Z,-9.0928,117.1835,63.84,4.1,mb,,71,3.059,0.62,us,us6000d65e,2021-03-06T23:19:12.040Z,"71 km SSW of Sumbawa Besar, Indonesia",earthquake,7.1,8.5,0.165,13,reviewed,us,us
2020-12-24T22:09:10.232Z,-9.0282,117.3729,104.1,4.4,mb,,95,3.231,0.54,us,us6000d2qg,2021-03-06T23:18:33.040Z,"59 km S of Sumbawa Besar, Indonesia",earthquake,7.6,8.3,0.134,16,reviewed,us,us
2020-12-18T07:58:36.054Z,-10.2395,117.2994,45.62,4.3,mb,,92,3.568,0.69,us,us6000d1wu,2021-02-27T23:23:39.040Z,"193 km S of Sumbawa Besar, Indonesia",earthquake,8.3,10.9,0.201,7,reviewed,us,us
2020-12-04T11:29:52.676Z,-9.5653,116.3122,65.19,4.1,mb,,95,2.395,0.96,us,us7000d02n,2021-02-12T22:41:59.040Z,"Lombok region, Indonesia",earthquake,10.4,6.9,0.198,7,reviewed,us,us
2020-09-25T20:24:20.664Z,-10.5281,117.547,14.71,4.7,mb,,46,3.923,1.07,us,us6000c1ds,2020-12-05T21:02:58.040Z,"225 km S of Sumbawa Besar, Indonesia",earthquake,7,4.1,0.072,66,reviewed,us,us
2020-09-12T00:58:12.208Z,-9.3089,117.7374,71.14,4.3,mb,,50,3.639,1.06,us,us7000bm85,2020-11-21T20:10:37.040Z,"96 km SSE of Sumbawa Besar, Indonesia",earthquake,4.5,7.7,0.099,29,reviewed,us,us
2020-08-15T07:12:11.735Z,-9.3551,114.0643,54.48,5,mww,,43,0.883,0.91,us,us6000bf3i,2020-10-24T20:08:52.040Z,"106 km SSW of Muncar, Indonesia",earthquake,6.4,5.8,0.098,10,reviewed,us,us
2020-07-31T00:37:08.242Z,-9.2107,115.1245,71.82,4.2,mb,,99,1.21,0.34,us,us6000b78f,2022-08-08T23:47:59.992Z,"south of Bali, Indonesia",earthquake,6.1,8.3,0.199,7,reviewed,us,us
2020-07-24T12:38:53.931Z,-10.4048,116.0904,10,4.6,mb,,109,2.711,0.76,us,us6000b66x,2020-10-03T17:32:31.040Z,"185 km S of Lembar, Indonesia",earthquake,9,1.9,0.095,33,reviewed,us,us
2020-06-17T18:09:44.736Z,-9.4008,114.12,63.24,4.4,mb,,121,0.925,0.8,us,us6000admw,2020-08-30T00:00:42.040Z,"109 km SSW of Muncar, Indonesia",earthquake,8.6,6.8,0.102,28,reviewed,us,us
2020-06-16T17:54:45.179Z,-9.5847,116.5908,67.32,4,mb,,93,2.651,0.9,us,us6000ah7f,2020-08-22T19:15:05.040Z,"103 km SSE of Praya, Indonesia",earthquake,7.3,9.6,0.173,11,reviewed,us,us
2020-05-11T11:39:00.428Z,-9.4698,114.4352,38.63,4.2,mb,,106,1.031,0.6,us,us70009jqa,2020-07-29T22:14:32.040Z,"109 km SW of Jimbaran, Indonesia",earthquake,4.1,10.2,0.167,10,reviewed,us,us
2020-04-02T03:34:47.277Z,-9.4385,114.6801,50.18,4.3,mb,,71,1.094,0.96,us,us70008rhp,2020-06-21T00:54:37.040Z,"88 km SW of Jimbaran, Indonesia",earthquake,8,8.1,0.129,17,reviewed,us,us
2020-03-28T09:44:59.739Z,-10.9835,115.2504,10,4.6,mb,,62,2.722,0.87,us,us70008hs0,2020-06-13T18:44:37.040Z,"241 km S of Nusa Dua, Indonesia",earthquake,5.2,1.9,0.091,36,reviewed,us,us
2020-03-27T21:53:56.021Z,-10.9995,115.2578,10,4.5,mb,,117,2.739,1.01,us,us70008hkb,2020-06-13T18:44:37.040Z,"243 km S of Nusa Dua, Indonesia",earthquake,5.2,1.9,0.093,34,reviewed,us,us
2020-03-18T22:51:41.919Z,-10.8943,115.1472,10,4.4,mb,,119,2.6,0.82,us,us70008gz1,2020-06-06T20:53:51.040Z,"231 km S of Nusa Dua, Indonesia",earthquake,9.8,1.9,0.135,16,reviewed,us,us
2020-02-27T21:28:07.612Z,-10.4912,116.4622,10,4.9,mb,,99,3.037,0.72,us,us600089kg,2020-05-19T22:14:29.040Z,"198 km S of Praya, Indonesia",earthquake,7.1,1.8,0.069,65,reviewed,us,us
2020-02-18T13:13:06.954Z,-10.6893,116.0795,10,4.3,mb,,102,2.911,0.74,us,us70007vxi,2020-05-02T22:10:36.040Z,"217 km S of Lembar, Indonesia",earthquake,3.7,1.9,0.148,14,reviewed,us,us
2020-02-06T21:06:31.559Z,-9.6665,117.6614,35,4.9,mb,,53,3.664,1.36,us,us70007k7i,2020-04-25T22:18:15.040Z,"132 km SSE of Sumbawa Besar, Indonesia",earthquake,7.8,1.7,0.063,79,reviewed,us,us
2020-02-03T21:16:47.549Z,-9.3678,114.0841,60.72,4.6,mb,,111,0.894,0.59,us,us70007nv2,2020-04-18T22:10:34.040Z,"106 km SSW of Muncar, Indonesia",earthquake,8.2,7.9,0.096,32,reviewed,us,us
2020-01-24T00:50:43.530Z,-9.8774,116.9285,35,4.9,mb,,59,3.077,0.87,us,us60007ebf,2020-04-11T18:20:42.040Z,"148 km SSE of Praya, Indonesia",earthquake,3.8,1.9,0.084,45,reviewed,us,us
2020-01-16T00:20:01.888Z,-10.082,115.6104,35,4,mb,,127,2.153,1.26,us,us60007j6d,2020-04-08T19:40:00.040Z,"147 km SSE of Nusa Dua, Indonesia",earthquake,11.5,2,0.196,7,reviewed,us,us
2019-12-09T14:18:29.021Z,-9.8194,116.4263,54.44,4,mb,,154,2.615,0.81,us,us60006t89,2020-02-29T19:52:53.040Z,"124 km S of Praya, Indonesia",earthquake,9.3,11.2,0.173,9,reviewed,us,us
2019-10-10T11:33:58.980Z,-9.8262,117.9222,47.85,4.1,mb,,91,3.959,0.56,us,us70005vgi,2019-12-28T20:46:19.040Z,"154 km SSW of Dompu, Indonesia",earthquake,9.6,14.6,0.212,6,reviewed,us,us
2019-09-30T14:06:53.242Z,-10.2021,116.0185,35.46,4.3,mb,,96,2.52,0.79,us,us70005slb,2019-12-20T19:04:39.040Z,"163 km S of Lembar, Indonesia",earthquake,4.7,7.8,0.154,12,reviewed,us,us
2019-08-13T13:40:09.938Z,-9.7401,114.0321,43.64,4.9,mb,,98,1.267,0.75,us,us600054hk,2019-11-02T15:26:04.040Z,"148 km SSW of Muncar, Indonesia",earthquake,3.5,7.8,0.109,26,reviewed,us,us
2019-08-12T07:43:19.887Z,-9.6019,114.1901,51.16,4.4,mb,,96,1.125,1.36,us,us6000570h,2019-10-29T20:34:03.040Z,"130 km S of Muncar, Indonesia",earthquake,8.2,8.4,0.143,14,reviewed,us,us
2019-07-24T13:17:19.240Z,-10.6813,114.9655,10,5.2,mww,,59,2.339,0.86,us,us60004urc,2019-10-11T20:12:25.040Z,"210 km S of Nusa Dua, Indonesia",earthquake,8.2,1.9,0.075,17,reviewed,us,us
2019-07-19T12:33:17.757Z,-9.2465,116.2031,123.99,4.2,mb,,95,2.168,0.63,us,us60004vxn,2019-10-04T16:37:20.040Z,"59 km SSE of Lembar, Indonesia",earthquake,7.9,9.5,0.127,17,reviewed,us,us
