time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-12-13T08:39:49.655Z,-9.7769,109.6882,10,4.7,mww,,41,2.027,0.62,us,us7000cqqz,2021-02-20T16:11:39.040Z,"212 km SSW of Bambanglipuro, Indonesia",earthquake,6.9,1.8,0.098,10,reviewed,us,us
2020-10-31T21:38:01.945Z,-9.1872,108.9762,37.09,4.5,mb,,119,1.986,0.67,us,us7000c8rt,2021-01-18T23:01:54.040Z,"174 km S of Kroya, Indonesia",earthquake,7.6,6.1,0.094,33,reviewed,us,us
2020-10-29T01:40:04.071Z,-9.5189,107.3838,40.5,4,mb,,89,2.06,0.55,us,us7000ca81,2021-01-18T23:01:39.040Z,"252 km SSW of Singaparna, Indonesia",earthquake,9.1,7.6,0.157,11,reviewed,us,us
2020-10-25T23:49:48.583Z,-8.1249,107.8954,48.84,4.4,mb,,67,0.701,1.03,us,us6000cd48,2021-01-09T20:05:26.040Z,"88 km SSW of Singaparna, Indonesia",earthquake,7.9,6.3,0.107,25,reviewed,us,us
2020-10-19T19:57:15.407Z,-8.074,108.1948,60.09,4.5,mb,,52,0.812,1.28,us,us6000c9h5,2020-12-29T23:07:43.040Z,"76 km S of Kawalu, Indonesia",earthquake,4.6,6.4,0.089,37,reviewed,us,us
2020-10-19T16:09:29.532Z,-9.8682,108.7247,10,4.8,mb,,104,2.615,0.58,us,us6000c9g3,2020-12-29T23:07:43.040Z,"253 km SSW of Kroya, Indonesia",earthquake,4.8,1.8,0.116,26,reviewed,us,us
2020-09-04T06:07:39.136Z,-9.1553,108.8799,34.83,4.8,mb,,160,2.041,0.48,us,us7000bhnk,2020-11-17T19:44:33.040Z,"173 km SSW of Kroya, Indonesia",earthquake,9.3,4.7,0.127,20,reviewed,us,us
2020-08-23T17:54:48.199Z,-9.7631,108.2223,10,4.8,mb,,118,2.354,0.62,us,us6000bjgh,2020-10-31T19:06:20.040Z,"259 km SSW of Sidareja, Indonesia",earthquake,8.6,1.9,0.097,33,reviewed,us,us
2020-08-23T17:38:01.436Z,-9.6512,108.1878,10,5.2,mww,,102,2.238,1.1,us,us6000bjgc,2020-10-31T19:06:20.040Z,"248 km SSW of Sidareja, Indonesia",earthquake,5.8,1.7,0.086,13,reviewed,us,us
2020-08-23T13:55:24.725Z,-9.5742,108.2243,10,4.4,mb,,78,2.173,0.61,us,us7000beam,2020-10-31T19:06:34.040Z,"239 km SSW of Sidareja, Indonesia",earthquake,6.1,1.9,0.155,12,reviewed,us,us
2020-07-12T19:50:31.277Z,-8.6756,109.9033,74.1,4.3,mb,,118,0.975,0.95,us,us7000amdp,2020-09-19T20:58:13.040Z,"90 km SSW of Srandakan, Indonesia",earthquake,8,7.2,0.125,18,reviewed,us,us
2020-07-07T05:17:51.870Z,-9.3688,107.4747,10,4.8,mb,,54,1.901,0.55,us,us7000ajau,2020-09-11T22:14:24.040Z,"233 km SSW of Singaparna, Indonesia",earthquake,4.7,1.7,0.072,63,reviewed,us,us
